Tahun,Kode_Reporter,Negara_Reporter,Kode_Mitra,Negara_Mitra,Kode_Arus,Arus_Perdagangan,Kode_HS,Nama_Barang,Satuan_Kuantitas,Kuantitas,Berat_Bersih_Kg,Nilai_Impor_USD,Dilaporkan_Langsung
2024,360,Indonesia,156,China,M,Import,845961,"Machine-tools; for milling by removing metal, (not knee-type), numerically controlled",N/A,0.0,526719.0,2893558.0,True
2024,360,Indonesia,156,China,M,Import,846226,"Machine-tools; bending, folding, straightening or flattening machines (including presses), for working metal, numerically controlled bending, folding, straightening or fattening machines (not press brakes, panel benders or roll forming machines)",N/A,0.0,616240.0,2847776.0,True
2024,360,Indonesia,156,China,M,Import,843039,Coal or rock cutters and tunnelling machinery; not self-propelled,N/A,0.0,350357.0,2651315.0,True
2024,360,Indonesia,156,China,M,Import,846269,"Machine-tools; cold metal working presses, other than hydraulic, mechanical or servo-presses",N/A,0.0,896067.0,2332234.0,True
2024,360,Indonesia,156,China,M,Import,842919,"Bulldozers and angledozers; self-propelled, other than track laying",N/A,0.0,580648.0,2287790.0,True
2024,360,Indonesia,156,China,M,Import,850750,"Electric accumulators; nickel-metal hydride, including separators, whether or not rectangular (including square)",N/A,0.0,661457.0,2282277.0,True
2024,360,Indonesia,156,China,M,Import,850134,"Electric motors and generators; DC, of an output exceeding 375kW",N/A,0.0,462937.0,2274091.0,True
2024,360,Indonesia,156,China,M,Import,902810,"Meters; gas, supply or production meters, including calibrating meters thereof",N/A,0.0,273036.0,2242519.0,True
2024,360,Indonesia,156,China,M,Import,845969,"Machine-tools; for milling by removing metal, not knee-type, other than numerically controlled",N/A,0.0,973491.0,2155256.0,True
2024,360,Indonesia,156,China,M,Import,890690,"Vessels; other, including lifeboats other than rowing boats, other than warships",N/A,0.0,226168.0,2126750.0,True
2024,360,Indonesia,156,China,M,Import,845690,Machine tools; for working any material by removal of material; operated by other processes n.e.c. in heading 8456,N/A,0.0,161113.0,2108416.0,True
2024,360,Indonesia,156,China,M,Import,846820,"Machinery and apparatus; gas operated machinery and apparatus n.e.c. in item no. 8468.10, for soldering, brazing or welding, whether or not capable of cutting",N/A,0.0,624639.0,1935472.0,True
2024,360,Indonesia,156,China,M,Import,846023,"Machine-tools; cylindrical grinding machines (excluding flat-surface and centreless), numerically controlled",N/A,0.0,196938.0,1917550.0,True
2024,360,Indonesia,156,China,M,Import,847150,"Units of automatic data processing machines; processing units other than those of item no. 8471.41 or 8471.49, whether or not containing in the same housing one or two of the following types of unit: storage units, input units or output units",N/A,0.0,6193.0,1738912.0,True
2024,360,Indonesia,156,China,M,Import,844339,"Printing, copying, and facsimile machines; single-function printing, copying or facsimile machines, not capable of connecting to an automatic data processing machine or to a network",N/A,0.0,386667.0,1685946.0,True
2024,360,Indonesia,156,China,M,Import,853080,"Signalling, safety or traffic control equipment; for roads, inland waterways, parking facilities, port installations or airfields (excluding those of heading no. 8608)",N/A,0.0,358616.0,1538734.0,True
2024,360,Indonesia,156,China,M,Import,660200,"Walking-sticks, seat-sticks, whips, riding-crops and the like",N/A,0.0,506958.0,1482895.0,True
2024,360,Indonesia,156,China,M,Import,960840,Pencils; propelling or sliding,N/A,0.0,306545.0,1449435.0,True
2024,360,Indonesia,156,China,M,Import,845970,Machine-tools; for threading or tapping by removing metal,N/A,0.0,287431.0,1389477.0,True
2024,360,Indonesia,156,China,M,Import,910119,"Wrist-watches; electrically operated, with or without a stop-watch, with case of precious metal or metal clad with precious metal, without mechanical display",N/A,0.0,1620070.0,1324970.0,True
2024,360,Indonesia,156,China,M,Import,903082,Instruments and apparatus; for measuring or checking semiconductor wafers or devices (including integrated circuits),N/A,0.0,59349.0,1321868.0,True
2024,360,Indonesia,156,China,M,Import,846233,"Machine-tools; shearing machines (excluding presses) for flat products, numerically controlled, other than combined punching and shearing machines, for working metal",N/A,0.0,353020.0,1075957.0,True
2024,360,Indonesia,156,China,M,Import,846029,"Machine-tools; grinding machines (excluding flat-surface), other than numerically controlled",N/A,0.0,308995.0,1060753.0,True
2024,360,Indonesia,156,China,M,Import,853939,"Lamps; discharge, (excluding ultra-violet, excluding fluorescent, hot cathode)",N/A,0.0,165300.0,968460.0,True
2024,360,Indonesia,156,China,M,Import,901811,"Medical, surgical instruments and appliances; electro-cardiographs",N/A,0.0,7102.0,956273.0,True
2024,360,Indonesia,156,China,M,Import,910291,"Pocket watches and other watches, including stop-watches; (excluding wrist-watches), other than those of heading no. 9101, electrically operated",N/A,0.0,325890.0,940604.0,True
2024,360,Indonesia,156,China,M,Import,842482,"Mechanical appliances; agricultural or horticultural, n.e.c. in heading 8424",N/A,0.0,290698.0,925658.0,True
2024,360,Indonesia,156,China,M,Import,847090,Machines incorporating a calculating device; n.e.c. in heading no. 8470,N/A,0.0,93621.0,917054.0,True
2024,360,Indonesia,156,China,M,Import,401180,"Rubber; new pneumatic tyres, of a kind used on construction, mining or industrial handling vehicles and machines",N/A,0.0,352635.0,913933.0,True
2024,360,Indonesia,156,China,M,Import,940169,"Seats; with wooden frames, not upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)",N/A,0.0,369838.0,900045.0,True
2024,360,Indonesia,156,China,M,Import,852842,"Monitors; cathode-ray tube, capable of directly connecting to and designed for use with an automatic data processing machine of heading 84.71",N/A,0.0,59723.0,895908.0,True
2024,360,Indonesia,156,China,M,Import,851431,"Furnaces and ovens; electric, for industrial or laboratory use, other than those functioning by induction, dielectric loss or resistance heated, electron beam furnaces",N/A,0.0,174691.0,887902.0,True
2024,360,Indonesia,156,China,M,Import,851210,"Lighting or visual signalling equipment; electrical, of a kind used on bicycles, excluding articles of heading no. 8539",N/A,0.0,426955.0,886708.0,True
2024,360,Indonesia,156,China,M,Import,844315,"Printing machinery; letterpress, other than reel-fed, excluding flexographic printing",N/A,0.0,147360.0,868421.0,True
2024,360,Indonesia,156,China,M,Import,850180,"Electric generators; (excluding generating sets), photovoltaic AC generators (alternators)",N/A,0.0,180794.0,787537.0,True
2024,360,Indonesia,156,China,M,Import,846225,"Machine-tools; bending, folding, straightening or flattening machines (including presses), for working metal, numerically controlled roll forming machines",N/A,0.0,259082.0,771606.0,True
2024,360,Indonesia,156,China,M,Import,910910,"Clock movements; complete and assembled, electrically operated",N/A,0.0,209416.0,769236.0,True
2024,360,Indonesia,156,China,M,Import,846040,Machine-tools; for honing or lapping,N/A,0.0,130638.0,652378.0,True
2024,360,Indonesia,156,China,M,Import,910199,"Pocket-watches and other watches, including stop-watches; (excluding wrist-watches), with case of precious metal or of metal clad with precious metal, not electrically operated",N/A,0.0,602379.0,633281.0,True
2024,360,Indonesia,156,China,M,Import,910610,"Time recording apparatus; time-registers, time recorders, with clock, watch movement or synchronous motor",N/A,0.0,207944.0,611267.0,True
2024,360,Indonesia,156,China,M,Import,880623,"Unmanned aircraft; for remote-controlled flight only, for other than for carriage of passengers, with the maximum take-off weight of more than 7kg but not more than 25kg",N/A,0.0,8781.0,601378.0,True
2024,360,Indonesia,156,China,M,Import,852799,Radio-broadcast receivers n.e.c. in heading no. 8527; not combined with sound recording or reproducing apparatus and not combined with a clock,N/A,0.0,395532.0,586319.0,True
2024,360,Indonesia,156,China,M,Import,846263,"Machine-tools; cold metal working presses, servo-presses",N/A,0.0,174650.0,562123.0,True
2024,360,Indonesia,156,China,M,Import,845140,"Machines; for washing, bleaching or dyeing",N/A,0.0,23769.0,490000.0,True
2024,360,Indonesia,156,China,M,Import,841311,"Pumps; fitted or designed to be fitted with a measuring device, for dispensing fuel or lubricants, of the type used in filling-stations or in garages",N/A,0.0,81337.0,481447.0,True
2024,360,Indonesia,156,China,M,Import,842121,Machinery; for filtering or purifying water,N/A,0.0,34454.0,465690.0,True
2024,360,Indonesia,156,China,M,Import,847021,"Calculating machines; electronic, incorporating a printing device, needing an external source of power",N/A,0.0,20647.0,447025.0,True
2024,360,Indonesia,156,China,M,Import,970390,"Sculptures and statuary; original, in any material, of an age not exceeding 100 years",N/A,0.0,303412.0,446045.0,True
2024,360,Indonesia,156,China,M,Import,843360,"Machines; for cleaning, sorting or grading eggs, fruit or other agricultural produce",N/A,0.0,42816.0,342728.0,True
2024,360,Indonesia,156,China,M,Import,843359,Harvesting machinery; n.e.c. in heading no. 8433,N/A,0.0,90785.0,335924.0,True
2024,360,Indonesia,156,China,M,Import,841370,"Pumps; centrifugal, n.e.c. in heading no. 8413, for liquids",N/A,0.0,4628.0,277353.0,True
2024,360,Indonesia,156,China,M,Import,847930,Machinery and mechanical appliances; presses for the manufacture of particle or fibre building board of wood or other ligneous materials and other machinery for treating wood or cork,N/A,0.0,68600.0,270200.0,True
2024,360,Indonesia,156,China,M,Import,841011,"Turbines; hydraulic turbines and water wheels, of a power not exceeding 1000kW",N/A,0.0,103865.0,259350.0,True
2024,360,Indonesia,156,China,M,Import,950632,Golf balls,N/A,0.0,96506.0,245804.0,True
2024,360,Indonesia,156,China,M,Import,911120,"Watch cases; of base metal, whether or not gold-plated or silver-plated",N/A,0.0,2978.0,171484.0,True
2024,360,Indonesia,156,China,M,Import,842129,"Machinery; for filtering or purifying liquids, n.e.c. in item no. 8421.2",N/A,0.0,12890.0,164418.0,True
2024,360,Indonesia,156,China,M,Import,280440,Oxygen,N/A,0.0,59207.0,141329.0,True
2024,360,Indonesia,156,China,M,Import,852412,"Flat panel display modules, whether or not incorporating touch-sensitive screens; of organic light-emitting diodes (OLED), without drivers or control circuits",N/A,0.0,12509.0,139990.0,True
2024,360,Indonesia,156,China,M,Import,370296,"Photographic film; other than for colour photography, in rolls, sensitised, unexposed, of a width not exceeding 35mm and of a length not exceeding 30m (other than of paper, paperboard or textiles)",N/A,0.0,701.0,136904.0,True
2024,360,Indonesia,156,China,M,Import,911011,"Watches; complete movements, unassembled or partly assembled (movement sets)",N/A,0.0,41368.0,121747.0,True
2024,360,Indonesia,156,China,M,Import,900850,"Image projectors, photographic enlargers and reducers, excluding cinematographic",N/A,0.0,63081.0,117690.0,True
2024,360,Indonesia,156,China,M,Import,842139,"Machinery; for filtering or purifying gases, other than intake air filters, catalytic converters or particulate filters for internal combustion engines",N/A,0.0,3658.0,112512.0,True
2024,360,Indonesia,156,China,M,Import,900720,"Projectors, cinematographic; whether or not incorporating sound recording or reproducing apparatus",N/A,0.0,60661.0,108328.0,True
2024,360,Indonesia,156,China,M,Import,930390,Firearms; n.e.c. in heading no. 9303,N/A,0.0,6306.0,106825.0,True
2024,360,Indonesia,156,China,M,Import,843410,Milking machines,N/A,0.0,11491.0,101105.0,True
2024,360,Indonesia,156,China,M,Import,911180,Watch cases; n.e.c. in heading no. 9111,N/A,0.0,24826.0,96397.0,True
2024,360,Indonesia,156,China,M,Import,850240,Electric rotary converters,N/A,0.0,11512.0,94420.0,True
2024,360,Indonesia,156,China,M,Import,845150,"Machines; for reeling, unreeling, folding, cutting or pinking textile fabrics",N/A,0.0,3961.0,88232.0,True
2024,360,Indonesia,156,China,M,Import,846224,"Machine-tools; bending, folding, straightening or flattening machines (including presses), for working metal, numerically controlled panel benders",N/A,0.0,31866.0,83588.0,True
2024,360,Indonesia,156,China,M,Import,910191,"Pocket-watches and other watches, including stop-watches; (excluding wrist-watches), with case of precious metal or of metal clad with precious metal, electrically operated",N/A,0.0,66242.0,80684.0,True
2024,360,Indonesia,156,China,M,Import,902213,"Apparatus based on the use of x-rays; including radiography or radiotherapy apparatus, for dental uses, excluding computed tomography apparatus",N/A,0.0,1130.0,80500.0,True
2024,360,Indonesia,156,China,M,Import,902511,"Thermometers and pyrometers; liquid filled, for direct reading, not combined with other instruments",N/A,0.0,11163.0,63781.0,True
2024,360,Indonesia,156,China,M,Import,854040,"Tubes; data/graphic display tubes, monochrome; data/graphic display tubes, colour, with a phosphor dot screen pitch smaller than 0.4mm",N/A,0.0,15469.0,63501.0,True
2024,360,Indonesia,156,China,M,Import,950440,Games; playing cards,N/A,0.0,6523.0,61637.0,True
2024,360,Indonesia,156,China,M,Import,846022,"Machine-tools; grinding machines (excluding flat-surface), centreless, numerically controlled",N/A,0.0,8314.0,48253.0,True
2024,360,Indonesia,156,China,M,Import,910819,"Watch movements; complete and assembled, electrically operated, by means of solar cells, without mechanical display or device including such or opto-electronic display",N/A,0.0,47077.0,47010.0,True
2024,360,Indonesia,156,China,M,Import,847480,"Machines; for agglomerating, shaping or moulding solid mineral fuels, ceramic paste, unhardened cements, plastering materials in powder or paste form, machines for forming foundry moulds of sand",N/A,0.0,21.0,46385.0,True
2024,360,Indonesia,156,China,M,Import,845611,Machine-tools; for working any material by removal of material; operated by laser,N/A,0.0,4470.0,45364.0,True
